,P_coo,P_fan,P_hea,P_pum,P_tot,T_oa,T_roo,T_set
18008.0,1292.715827634098,189.91495498311485,0.0,5.60152564407184,1488.232308261285,299.83859693320665,294.7276895421357,294.72922277068653
18009.0,1040.4798822688947,127.28298824374994,0.0,5.60152564407184,1173.3643961567166,299.85840182450676,294.7279730265089,294.72922277068653
18010.0,886.4981989712188,89.09763608822216,0.0,5.60152564407184,981.1973607035128,299.8988229454106,294.72824952171527,294.72922277068653
18011.0,778.7806559810433,65.23795022583018,0.0,5.60152564407184,849.6201318509452,299.8906363460756,294.72845715523243,294.72922277068653
18012.0,697.3329373826298,49.60345704073916,0.0,5.60152564407184,752.537920067441,299.7750624304929,294.7286033007888,294.72922277068653
18013.0,634.7727751818861,38.76348890696168,0.0,5.60152564407184,679.1377897329196,299.5569452189662,294.72870119517046,294.72922277068653
18014.0,586.9818104808948,30.74072986630873,0.0,5.60152564407184,623.3240659912751,299.2676741793911,294.72875628245686,294.72922277068653
18015.0,546.8938840644576,24.35807863854872,0.0,5.60152564407184,576.8534883470782,298.93518366894455,294.7287771481081,294.72922277068653
18016.0,510.0448843944695,19.05835904702519,0.0,5.60152564407184,534.7047690855666,298.567228626783,294.7287843645493,294.72922277068653
18017.0,504.1246675374046,18.68610622350145,0.0,5.60152564407184,528.412299404978,298.12265372039343,294.4825983834087,294.4827699981639
18018.0,545.3676375483811,29.871414794882988,0.0,5.60152564407184,580.8405779873359,297.6512660289596,293.7141417369806,293.7144611076597
18019.0,500.2578963279796,24.0758575980263,0.0,5.60152564407184,529.9352795700777,297.2327196169143,293.6455116978481,293.6460764512591
18020.0,466.41955630854716,18.20085515515728,0.0,5.60152564407184,490.2219371077763,296.9288444807711,293.6456303531683,293.6460764512591
18021.0,441.9428465658745,14.289181749803422,0.0,5.60152564407184,461.83355395974974,296.7172782193941,293.6457168484247,293.6460764512591
18022.0,325.8034329459394,4.0267053169551605,0.0,5.60152564407184,335.43166390696643,296.5726789808202,294.0589096417453,296.5915922024657
18023.0,290.5077122443134,0.8739606953892678,0.0,5.60152564407184,296.9831985837744,296.48222687759034,294.7666526750074,305.5678391158056
18024.0,294.5538940103887,0.8739606953892678,0.0,5.60152564407184,301.0293803498498,296.4391802301409,295.00233494655487,306.2888666551113
