,T_oa,T_roo,mass_flow
20642,290.15,289.4641104,0.075
20643,290.15,289.3166958,0.075
20644,290.15,289.1787113,0.075
20645,290.15,289.0497044,0.075
20646,290.15,288.9289236,0.075
20647,290.1499202,288.8157441,0.075
20648,290.0632476,288.7074518,0.075
20649,289.6153111,288.5871614,0.075
20650,288.9554123,288.44514,0.075
20651,288.3642373,288.2882421,0.075
20652,288.0335911,288.1336522,0.075
20653,287.7833333,287.9872268,0.075
20654,287.5333333,287.8438553,0.075
20655,287.2833333,287.7022544,0.075
20656,287.0333333,287.5621908,0.075
20657,286.7833333,287.4234825,0.075
20658,286.5333333,287.2859848,0.075
20659,286.2834333,287.1504556,0.075
20660,286.112406,287.0226714,0.075
20661,286.2755921,286.9293794,0.075
20662,286.6575609,286.8940658,0.075
20663,287.0239438,286.9174178,0.075506848
20664,287.1840169,286.9008926,0.140013359
20665,287.1870146,287.0025901,0.105349993
20666,287.1386143,286.8913359,0.340742718
20667,287.1232805,287.1207785,0.142139167
20668,287.2217785,287.1722156,0.431004714
20669,287.4875996,287.4355638,0.238417755
20670,287.9585693,287.597115,0.351550569
20671,288.6719391,287.7220474,0.360045614
20672,289.7133759,288.344033,0.255586577
20673,291.2020406,289.1307217,0.172667521
20674,292.8955901,290.1791177,0.100708075
20675,294.4565444,290.568805,0.200406238
20676,295.6650388,290.1454577,0.357520173
20677,296.7578427,290.243274,0.410028554
20678,297.7932218,290.1855502,0.555468109
20679,298.7146937,292.1460757,0.163821682
20680,299.4999526,294.8999812,0.033907863
20681,300.25,292.1515537,0.567752857
20682,301,293.0004705,0.270137252
20683,301.75,292.3068478,0.556480811
20684,302.5,292.596259,0.492325405
20685,303.25,292.5615768,0.580769374
20686,304,292.2385138,0.697195124
20687,304.7499755,294.8379813,0.287933994
20688,305.4804156,294.0884597,0.50183603
20689,306.1095008,295.0309736,0.339576644
20690,306.6136672,296.7120018,0.225808498
20691,306.9928544,294.9869395,0.482095149
20692,307.2469792,294.9239608,0.441376133
20693,307.376208,296.5346242,0.293752356
20694,307.3802976,298.2662168,0.192998787
20695,307.2595779,298.5284645,0.225048994
20696,307.033267,296.05198,0.447692065
20697,306.7833333,296.9399542,0.271613623
20698,306.5333333,295.9563716,0.413723891
